id,sepal_length,sepal_width,petal_length,petal_width,redundancy
62,5.38,3.07,1.58,0.36,0
63,5.07,3.69,1.74,0.31,0
64,5.06,3.2,1.34,0.37,0
65,5.28,3.62,1.68,0.2,0
66,5.13,3.48,1.25,0.09,0
67,4.63,3.46,1.44,0.24,0
68,5.82,2.8,4.0,1.35,0
69,6.28,2.57,4.34,1.28,0
70,6.71,3.13,4.22,1.29,0
71,6.33,2.58,3.73,1.53,0
72,5.03,2.78,4.34,1.17,0
73,5.86,2.43,4.25,1.15,0
74,5.96,2.88,3.87,1.11,0
75,5.92,2.66,3.84,1.22,0
76,6.16,3.1,4.66,1.27,0
77,6.46,2.86,4.91,1.36,0
78,6.27,2.92,4.08,0.99,0
79,7.05,2.17,5.52,1.94,0
80,6.97,3.19,5.1,1.64,0
81,6.89,2.65,5.83,2.06,0
82,5.69,2.57,4.95,2.15,0
83,5.18,2.78,6.83,2.1,0
84,6.94,3.07,5.7,2.45,0
85,5.35,2.74,5.79,2.06,0
86,5.72,2.59,4.81,1.79,0
87,6.53,3.09,6.4,2.41,0
88,4.67,3.49,1.61,0.27,0
89,4.77,3.54,1.3,-0.02,0
90,5.23,3.68,1.4,0.17,0
91,5.7,3.55,1.48,0.24,0
92,5.39,3.71,1.8,0.27,0
93,4.93,3.39,1.64,0.32,0
94,5.71,3.07,1.48,0.14,0
95,4.86,3.78,1.57,0.06,0
96,5.27,3.91,1.29,0.21,0
97,5.77,2.7,4.52,1.44,0
98,6.45,2.99,4.49,1.75,0
99,6.25,2.52,4.24,1.39,0
100,5.52,2.23,3.82,1.27,0
101,5.21,3.24,4.63,1.54,0
102,5.48,2.67,5.13,1.28,0
103,6.25,2.37,4.16,1.47,0
104,6.43,3.03,4.78,1.7,0
105,6.69,3.75,3.93,1.27,0
106,5.78,2.34,3.7,1.39,0
107,7.28,3.44,6.11,2.38,0
108,5.88,3.47,5.37,2.11,0
109,6.89,3.47,6.28,2.06,0
110,7.41,2.47,5.67,2.22,0
111,6.83,3.1,5.31,1.8,0
112,6.63,3.01,6.52,2.49,0
113,5.79,2.87,5.16,2.6,0
114,7.49,2.52,5.34,2.19,0
115,7.48,3.22,6.54,2.51,0
116,6.97,2.98,5.56,1.78,0
117,6.43,3.65,5.22,1.86,0
118,5.56,2.87,1.51,0.26,0
119,4.83,3.86,1.44,0.17,0
120,5.22,3.58,1.64,0.3,0
121,4.86,3.82,1.57,0.22,0
122,4.81,2.82,1.38,0.16,0
123,5.38,3.22,1.6,0.32,0
124,4.54,3.45,1.43,0.37,0
125,5.05,3.44,1.43,0.28,0
126,4.96,3.56,1.29,0.27,0
127,6.01,3.12,3.98,1.17,0
128,6.17,2.81,3.36,1.19,0
129,6.37,2.37,5.12,1.29,0
130,5.8,2.46,4.04,1.08,0
131,6.14,2.25,4.52,1.37,0
132,6.25,2.19,4.57,1.36,0
133,5.86,1.95,3.92,1.4,0
134,6.53,2.97,5.14,1.29,0
135,6.16,2.48,3.95,1.21,0
136,5.76,3.37,2.99,1.2,0
137,6.61,2.59,6.23,2.0,0
138,5.81,3.16,5.69,2.11,0
139,6.72,3.1,5.6,1.77,0
140,6.03,2.79,4.32,1.64,0
141,6.18,2.92,5.13,1.93,0
142,7.59,3.04,5.15,2.37,0
143,7.37,3.17,5.13,1.35,0
144,8.14,2.77,5.99,2.46,0
145,6.5,3.39,5.83,2.3,0
146,6.84,2.96,5.57,1.83,0
147,6.62,2.7,5.03,2.52,0
148,6.78,2.78,5.54,1.71,0
149,4.61,3.76,1.67,0.15,0
150,4.61,2.64,1.69,0.3,0
151,5.14,3.26,1.46,0.38,0
152,5.17,3.59,1.26,0.17,0
153,5.21,3.08,1.45,0.18,0
154,4.82,3.91,1.31,0.42,0
155,5.11,3.95,1.39,0.27,0
156,5.3,4.01,1.46,0.13,0
157,5.48,3.38,1.61,0.33,0
158,4.55,3.36,1.29,0.1,0
159,6.49,2.73,3.78,1.14,0
160,6.65,3.31,3.68,1.26,0
161,6.03,2.65,5.01,1.27,0
162,5.19,3.02,4.26,1.55,0
163,6.5,2.46,4.86,1.21,0
164,6.47,2.95,4.35,1.25,0
165,6.25,3.09,5.04,1.21,0
166,5.97,2.54,3.79,1.11,0
167,5.29,2.44,4.27,1.33,0
168,6.25,3.44,6.31,1.81,0
169,6.38,2.98,5.78,2.09,0
170,5.18,2.91,5.82,1.97,0
171,6.88,3.07,5.6,2.32,0
172,6.52,3.42,5.52,1.45,0
173,6.63,3.09,5.61,2.33,0
174,6.0,3.11,5.28,1.81,0
175,6.14,3.28,4.58,1.73,0
176,5.98,3.08,5.63,1.91,0
177,6.28,2.88,5.43,2.44,0
178,5.03,3.48,1.35,0.17,0
179,5.46,3.62,1.48,0.24,0
180,5.0,3.57,1.48,0.39,0
181,4.64,3.54,1.33,0.17,0
182,5.56,3.51,1.39,0.39,0
183,5.26,2.35,1.28,0.3,0
184,4.57,3.47,1.63,0.08,0
185,4.68,3.88,1.38,0.09,0
186,4.23,3.17,1.27,0.29,0
187,5.23,3.72,1.38,0.47,0
188,6.47,2.73,4.63,1.08,0
189,6.34,2.96,4.79,1.27,0
190,6.09,2.48,5.16,1.54,0
191,5.87,2.38,4.44,1.23,0
192,7.19,3.04,4.07,1.09,0
193,6.75,2.81,4.12,1.46,0
194,6.1,3.05,4.51,1.66,0
195,6.23,2.63,4.16,1.33,0
196,4.58,2.16,4.03,1.19,0
197,5.5,2.94,4.28,1.43,0
198,6.34,3.05,4.58,2.11,0
199,6.01,2.32,5.64,1.85,0
200,7.02,2.48,5.42,2.2,0
201,7.25,3.07,6.21,1.66,0
202,6.78,3.42,4.91,2.04,0
203,6.58,3.07,5.91,2.07,0
204,6.85,3.04,5.89,2.12,0
205,8.03,3.17,4.46,2.37,0
206,6.27,2.68,5.66,1.98,0
207,5.87,3.74,4.91,2.4,0
208,4.78,3.43,1.26,0.14,0
209,5.26,3.22,1.65,0.18,0
210,4.69,3.69,1.39,0.33,0
211,5.8,3.07,1.52,0.32,0
212,5.3,3.0,1.23,0.17,0
213,4.83,4.33,1.29,0.29,0
214,4.77,3.15,1.53,0.39,0
215,5.36,3.51,1.54,0.36,0
216,4.93,3.27,1.43,0.28,0
217,6.02,2.85,4.43,1.27,0
218,6.72,2.74,4.97,1.89,0
219,6.3,2.34,3.45,1.13,0
220,6.1,2.44,3.65,1.5,0
221,6.58,2.53,3.54,1.16,0
222,5.85,2.33,4.24,1.34,0
223,5.62,2.62,5.18,1.32,0
224,6.78,2.51,3.39,1.43,0
225,6.37,2.54,4.72,1.18,0
226,6.75,2.83,4.33,1.53,0
227,5.18,2.86,4.6,1.97,0
228,6.71,2.96,5.87,1.81,0
229,6.46,2.87,6.27,2.17,0
230,6.82,2.92,5.61,2.16,0
231,6.32,3.63,5.34,2.25,0
232,7.6,2.64,6.42,2.24,0
233,6.52,2.65,6.02,2.14,0
234,6.44,2.73,6.14,2.09,0
235,4.86,3.91,1.66,0.18,0
236,5.23,3.09,1.4,0.23,0
237,5.32,2.62,1.49,0.19,0
238,4.61,3.81,1.42,0.14,0
239,4.39,3.85,1.26,0.25,0
240,4.73,3.64,1.64,0.24,0
241,5.08,2.46,1.6,0.29,0
242,4.64,3.75,1.62,0.28,0
243,5.09,3.78,1.39,0.31,0
244,5.11,2.61,1.56,0.27,0
245,5.92,2.41,4.68,1.14,0
246,5.61,2.78,3.6,1.31,0
247,6.08,2.95,4.26,1.31,0
248,6.87,2.55,4.46,1.66,0
249,5.31,3.07,3.32,1.18,0
250,6.55,2.76,4.21,0.97,0
251,6.6,3.21,4.59,1.63,0
252,5.91,2.64,4.91,1.09,0
253,4.39,2.88,4.11,1.23,0
254,6.3,3.1,6.18,1.95,0
255,6.03,2.91,5.82,1.6,0
256,5.83,3.07,5.23,1.91,0
257,5.83,3.51,4.66,2.26,0
258,6.56,2.75,6.19,2.16,0
259,7.11,3.23,5.24,2.43,0
260,5.53,3.15,5.81,2.46,0
261,6.92,3.44,5.75,2.06,0
262,5.3,3.52,1.33,0.2,0
263,4.94,2.72,1.42,0.16,0
264,5.09,2.95,1.55,0.44,0
265,5.15,3.3,1.53,0.37,0
266,5.56,3.75,1.35,0.2,0
267,4.36,2.64,1.69,0.3,0
268,5.21,3.02,1.36,0.21,0
269,5.23,3.23,1.28,0.39,0
270,5.42,3.5,1.95,0.35,0
271,5.83,3.41,3.85,1.24,0
272,6.61,2.22,4.59,1.31,0
273,5.68,2.22,4.78,1.4,0
274,6.1,2.79,4.24,1.48,0
275,6.24,3.3,3.79,1.33,0
276,5.09,2.6,4.49,1.29,0
277,6.15,2.74,4.61,1.32,0
278,5.46,2.85,4.42,1.61,0
279,5.62,2.84,3.48,1.06,0
280,6.26,2.73,4.12,1.23,0
281,6.29,2.75,4.44,1.06,0
282,6.11,2.69,4.98,1.19,0
283,6.31,3.04,6.2,2.04,0
284,5.88,2.75,4.92,2.42,0
285,6.88,3.25,5.61,2.12,0
286,7.15,3.6,5.95,2.08,0
287,6.86,3.15,5.96,1.85,0
288,7.38,3.0,5.99,2.11,0
289,7.17,2.47,5.19,1.96,0
290,6.55,2.69,5.47,1.86,0
291,6.37,2.82,5.09,2.72,0
292,5.32,2.75,1.53,0.37,0
293,5.71,3.23,1.2,0.32,0
294,4.38,3.58,1.26,0.19,0
295,4.8,3.78,1.78,0.26,0
296,5.09,4.39,1.48,0.13,0
297,5.09,3.41,1.59,0.19,0
298,4.73,2.72,1.33,0.22,0
299,4.84,3.43,1.68,0.2,0
300,6.51,2.85,5.12,1.13,0
301,6.27,3.38,3.86,1.47,0
302,5.09,2.71,4.54,1.16,0
303,6.19,2.51,4.13,1.28,0
304,6.55,2.18,3.87,1.25,0
305,5.26,2.53,4.55,1.43,0
306,5.29,2.56,4.01,1.24,0
307,5.94,2.58,5.3,1.61,0
308,6.14,3.12,4.7,0.95,0
309,7.54,2.96,4.75,1.26,0
310,5.18,2.24,4.67,1.36,0
311,6.7,2.77,3.61,1.62,0
312,6.26,3.45,5.26,1.94,0
313,7.33,3.38,5.04,1.76,0
314,7.27,2.91,5.9,1.95,0
315,6.68,3.19,5.38,2.09,0
316,7.93,2.8,5.35,2.39,0
317,6.76,2.87,5.14,1.59,0
318,7.21,3.38,6.47,2.33,0
319,7.01,3.01,5.04,2.12,0
320,7.53,2.95,5.69,2.45,0
321,6.99,2.98,6.31,2.17,0
322,4.92,3.82,1.27,0.31,0
323,4.94,3.03,1.29,0.28,0
324,5.06,4.1,1.25,0.24,0
325,5.25,3.36,1.29,0.1,0
326,5.14,2.84,1.24,0.11,0
327,5.26,3.56,1.43,0.22,0
328,4.8,3.27,1.39,0.18,0
329,5.31,3.8,1.61,0.16,0
330,6.53,3.05,4.11,1.37,0
331,5.97,3.07,3.88,1.37,0
332,5.79,2.82,4.42,1.41,0
333,5.17,2.3,4.68,1.59,0
334,6.08,2.91,5.14,1.56,0
335,5.95,3.08,4.36,1.2,0
336,6.03,2.41,4.2,1.26,0
337,5.83,3.23,4.09,1.49,0
338,5.73,2.55,5.07,1.61,0
339,6.09,2.95,3.97,1.54,0
340,7.16,3.68,5.26,1.67,0
341,7.65,2.33,5.31,1.74,0
342,6.38,3.04,5.33,2.44,0
343,6.76,3.13,6.15,2.15,0
344,5.53,2.91,5.62,2.2,0
345,5.52,2.94,5.98,2.15,0
346,5.89,3.28,4.9,2.3,0
347,7.03,3.06,5.65,2.15,0
348,7.2,2.96,4.86,1.84,0
349,7.49,2.78,5.49,2.22,0
350,6.31,3.32,5.46,2.23,0
351,7.41,3.63,5.31,2.18,0
352,5.84,3.35,1.76,0.34,0
353,4.96,3.35,1.35,0.44,0
354,4.79,3.28,1.74,0.28,0
355,5.17,4.0,1.55,0.4,0
356,5.34,3.5,1.6,0.33,0
357,5.49,4.0,1.39,0.18,0
358,5.21,2.36,1.48,0.27,0
359,5.24,3.83,1.39,0.14,0
360,5.21,2.27,3.98,1.9,0
361,5.29,2.33,4.15,1.09,0
362,5.63,2.41,4.66,1.28,0
363,5.73,2.66,3.65,1.46,0
364,5.34,2.82,3.63,1.47,0
365,6.39,3.04,4.04,1.37,0
366,6.9,2.96,3.56,0.88,0
367,5.64,3.02,4.51,1.41,0
368,7.22,2.71,4.95,1.41,0
369,6.29,2.23,4.9,2.08,0
370,6.79,2.93,5.87,2.03,0
371,7.35,2.89,5.93,1.34,0
372,6.57,3.17,5.55,2.16,0
373,7.04,3.25,4.95,2.12,0
374,6.83,2.57,6.84,1.89,0
375,5.6,2.29,5.97,1.83,0
376,6.24,2.97,5.55,1.93,0
377,4.97,3.47,1.22,0.35,0
378,5.03,3.4,1.28,0.19,0
379,4.95,3.53,1.6,0.17,0
380,4.93,3.52,1.68,0.04,0
381,5.3,3.86,1.4,0.17,0
382,4.48,3.14,1.53,0.1,0
383,5.23,2.99,0.93,-0.04,0
384,4.79,4.02,1.18,0.19,0
385,4.82,3.26,1.32,0.21,0
386,5.07,3.47,1.43,0.28,0
387,4.22,3.39,1.46,0.35,0
388,6.26,2.64,4.18,1.28,0
389,4.38,3.07,4.37,1.22,0
390,6.31,3.01,4.18,1.6,0
391,6.43,2.74,4.59,1.07,0
392,6.19,2.92,4.27,1.27,0
393,5.97,2.78,4.13,1.67,0
394,6.59,2.67,3.82,1.59,0
395,6.76,2.55,3.77,1.27,0
396,6.33,2.88,4.73,1.47,0
397,5.86,2.47,4.53,1.35,0
398,5.94,3.05,4.43,1.43,0
399,6.18,2.55,6.17,2.37,0
400,6.25,3.16,4.54,1.63,0
401,6.41,2.85,5.58,2.07,0
402,7.22,3.51,5.57,1.92,0
403,6.28,2.92,5.28,2.02,0
404,7.11,2.49,5.19,2.1,0
405,6.77,3.25,6.1,1.7,0
406,7.27,2.59,6.18,1.67,0
407,5.84,2.98,4.8,1.93,0
408,5.92,2.43,5.46,1.65,0
409,5.94,2.97,5.93,2.03,0
410,4.6,3.16,1.33,0.11,0
411,5.54,3.4,1.31,0.11,0
412,5.28,2.91,1.44,0.09,0
413,5.06,2.85,1.45,0.3,0
414,5.52,3.27,1.13,0.29,0
415,5.21,3.2,1.52,0.21,0
416,5.5,3.37,1.57,0.26,0
417,5.32,3.53,1.75,0.2,0
418,5.33,2.73,1.44,0.13,0
419,4.46,3.56,1.33,0.28,0
420,5.32,3.36,1.43,0.35,0
421,5.14,3.76,1.36,0.19,0
422,5.73,2.97,4.54,1.57,0
423,5.9,2.22,4.33,1.07,0
424,6.05,2.69,4.16,1.51,0
425,5.79,3.56,4.64,1.42,0
426,6.39,3.12,4.93,1.41,0
427,6.24,3.24,4.46,1.28,0
428,6.52,2.65,4.7,1.43,0
429,5.03,2.8,4.4,1.34,0
430,6.23,2.69,3.19,1.36,0
431,5.9,2.54,3.94,1.57,0
432,6.37,3.0,4.86,1.66,0
433,6.13,2.85,4.3,1.27,0
434,6.21,2.9,5.99,2.33,0
435,5.94,2.73,5.58,1.64,0
436,8.35,3.22,4.97,1.83,0
437,5.99,3.09,5.4,2.12,0
438,5.44,2.87,5.94,2.5,0
439,5.05,3.04,5.98,1.67,0
440,8.06,2.69,6.25,1.76,0
441,6.07,3.2,6.35,2.34,0
442,7.0,3.18,5.51,1.85,0
443,6.29,3.41,5.85,2.16,0
444,5.46,3.35,6.94,1.87,0
445,5.29,4.0,1.53,0.33,0
446,4.49,3.55,1.36,0.14,0
447,5.03,4.19,1.76,0.25,0
448,5.09,3.86,1.63,0.42,0
449,5.0,4.41,1.74,0.18,0
450,4.94,3.49,1.71,-0.03,0
451,5.14,3.49,1.41,0.29,0
452,4.34,3.37,1.41,0.17,0
453,6.21,2.78,5.08,1.84,0
454,5.8,2.51,4.7,1.11,0
455,5.25,3.1,4.1,1.18,0
456,5.69,3.31,3.75,1.4,0
457,5.86,2.84,4.52,0.85,0
458,6.26,3.12,3.8,1.24,0
459,5.06,2.36,4.52,1.3,0
460,6.86,2.84,5.74,1.65,0
461,6.76,2.97,4.67,1.68,0
462,6.32,2.74,3.76,1.36,0
463,6.19,3.26,4.09,1.46,0
464,6.49,3.13,4.14,1.24,0
465,6.85,3.4,5.71,2.05,0
466,7.38,3.38,5.9,1.84,0
467,5.68,3.06,5.6,2.38,0
468,5.89,2.92,5.75,2.15,0
469,6.09,3.3,6.41,2.35,0
470,7.71,2.86,5.57,1.72,0
471,6.16,3.42,5.29,2.25,0
472,6.99,2.77,4.94,1.92,0
473,5.29,3.42,1.29,0.26,0
474,5.25,3.33,1.51,0.32,0
475,5.1,3.59,1.8,0.24,0
476,4.64,3.01,1.46,0.27,0
477,5.67,3.3,1.31,0.23,0
478,4.67,3.1,1.24,0.33,0
479,4.45,3.95,1.36,0.31,0
480,5.01,3.11,1.43,0.29,0
481,4.52,3.19,1.51,0.12,0
482,5.23,3.45,1.5,0.17,0
483,5.21,4.16,1.62,0.16,0
484,5.76,3.5,1.65,0.13,0
485,6.04,2.57,4.29,1.56,0
486,6.33,2.33,3.76,1.34,0
487,5.38,3.07,4.69,1.33,0
488,6.65,3.02,4.23,1.36,0
489,6.34,2.43,4.19,1.53,0
490,6.4,2.65,3.84,1.68,0
491,5.7,2.34,4.45,0.92,0
492,5.15,3.13,3.98,1.84,0
493,5.27,3.22,3.79,1.4,0
494,6.09,2.86,4.09,1.28,0
495,6.8,2.92,5.5,1.82,0
496,5.87,2.97,5.9,1.84,0
497,5.74,2.88,5.52,1.95,0
498,6.95,3.02,5.65,1.23,0
499,5.77,3.04,4.84,1.75,0
500,6.59,2.5,5.13,2.58,0
501,5.96,3.04,6.19,2.25,0
502,5.92,2.59,4.89,1.99,0
503,4.89,3.25,1.29,0.2,0
504,4.87,3.87,1.49,0.34,0
505,4.74,2.76,1.54,0.57,0
506,4.92,3.65,1.44,0.2,0
507,4.61,2.96,1.52,0.26,0
508,5.04,4.38,1.61,0.13,0
509,5.39,3.14,1.59,0.18,0
510,4.27,3.28,1.43,0.29,0
511,4.97,3.31,1.09,0.23,0
512,5.1,3.34,1.21,0.18,0
513,5.73,3.11,1.47,0.09,0
514,6.78,3.19,4.3,1.51,0
515,6.57,2.79,4.33,1.37,0
516,6.02,2.73,5.26,0.91,0
517,6.41,3.09,3.57,1.33,0
518,6.88,2.23,3.83,1.68,0
519,5.46,2.63,4.74,1.23,0
520,6.35,2.98,4.43,0.89,0
521,6.35,3.14,4.25,1.33,0
522,5.75,2.78,6.25,2.12,0
523,7.31,2.97,5.66,2.08,0
524,6.15,2.82,4.76,1.86,0
525,6.42,2.56,6.51,1.96,0
526,7.18,2.85,5.21,1.97,0
527,6.69,3.58,5.59,2.09,0
528,5.77,3.35,5.06,1.83,0
529,6.28,3.27,5.46,2.02,0
530,6.72,2.52,5.47,2.12,0
531,4.9,2.51,1.34,0.33,0
532,4.89,3.13,1.51,0.28,0
533,5.17,3.29,1.38,0.25,0
534,4.85,3.49,1.92,0.53,0
535,4.9,2.53,1.59,0.22,0
536,4.9,3.35,1.44,0.31,0
537,5.31,3.21,1.7,0.22,0
538,4.84,3.4,1.33,0.09,0
539,5.32,3.13,1.43,0.19,0
540,4.86,3.87,1.15,0.36,0
541,5.17,3.14,1.45,0.23,0
542,4.52,3.28,1.86,0.32,0
543,5.53,2.7,4.56,1.12,0
544,5.46,2.83,4.09,1.24,0
545,6.52,2.74,3.68,1.27,0
546,6.05,3.16,5.21,1.38,0
547,6.47,2.59,4.29,1.41,0
548,5.78,3.14,4.35,1.44,0
549,6.92,2.65,4.28,1.28,0
550,5.03,2.99,4.32,1.02,0
551,5.35,2.36,3.97,1.2,0
552,6.43,2.81,4.35,1.59,0
553,6.55,3.46,5.95,2.74,0
554,7.63,2.64,5.68,1.74,0
555,5.27,3.01,6.2,2.56,0
556,7.38,3.09,5.4,2.33,0
557,7.16,3.34,5.0,1.9,0
558,7.27,2.95,6.18,2.26,0
559,7.34,3.28,5.56,1.92,0
560,6.65,3.12,5.55,1.42,0
561,6.57,2.62,5.52,1.86,0
562,5.49,3.73,5.48,2.08,0
563,7.2,3.04,4.59,2.02,0
564,5.14,3.55,1.59,0.22,0
565,5.41,3.41,1.73,0.26,0
566,5.47,3.8,1.43,0.19,0
567,5.32,3.33,1.6,0.2,0
568,5.33,3.39,1.51,0.21,0
569,5.07,3.71,1.58,0.3,0
570,4.65,3.38,1.39,0.32,0
571,5.01,3.24,1.53,0.33,0
572,5.17,3.48,1.44,0.25,0
573,5.64,2.93,4.12,1.46,0
574,5.62,1.89,5.03,1.52,0
575,5.5,2.94,4.71,1.85,0
576,5.98,2.98,3.37,1.32,0
577,5.7,2.66,4.47,0.67,0
578,6.69,3.1,3.64,1.59,0
579,6.38,2.63,5.28,1.76,0
580,5.26,2.47,4.95,1.46,0
581,5.44,2.56,4.07,1.37,0
582,6.07,3.1,4.4,1.3,0
583,6.11,2.91,3.88,1.45,0
584,6.28,2.84,4.19,1.15,0
585,7.14,2.84,5.42,2.27,0
586,6.21,2.7,6.03,1.99,0
587,6.98,2.7,5.07,2.1,0
588,6.73,2.97,5.51,2.09,0
589,6.43,3.08,5.36,1.78,0
590,6.91,2.95,5.09,2.26,0
591,6.85,2.88,5.66,2.12,0
592,6.89,3.12,5.55,2.47,0
593,7.07,3.79,4.91,2.55,0
594,4.77,3.14,4.87,1.97,0
595,6.29,2.35,5.21,1.7,0
596,5.07,2.79,1.35,0.18,0
597,5.47,3.55,1.55,0.19,0
598,4.73,3.75,1.45,0.25,0
599,5.25,3.64,1.78,0.21,0
600,4.77,3.69,1.64,0.26,0
601,4.59,3.19,1.29,0.1,0
602,5.29,3.42,1.32,0.2,0
603,4.91,3.72,1.63,0.32,0
604,5.19,3.59,1.45,0.39,0
605,4.87,3.21,1.16,0.1,0
606,4.86,3.01,1.58,0.16,0
607,6.15,3.02,4.69,1.21,0
608,6.38,2.34,4.83,1.79,0
609,6.51,3.18,5.05,1.27,0
610,4.98,2.49,4.29,1.32,0
611,6.82,3.06,4.43,1.39,0
612,6.43,3.21,4.36,1.57,0
613,5.59,2.43,4.33,1.2,0
614,6.72,3.29,4.04,1.46,0
615,5.97,3.08,5.02,1.5,0
616,5.27,2.53,3.58,0.97,0
617,5.34,3.11,5.52,2.09,0
618,6.77,2.62,6.42,2.13,0
619,6.55,2.81,5.47,1.99,0
620,7.02,2.9,4.86,2.14,0
621,6.6,2.63,4.86,1.97,0
622,7.25,3.51,6.02,1.71,0
623,7.48,3.11,5.78,2.23,0
624,7.29,3.04,6.33,2.29,0
625,6.43,3.36,5.99,1.85,0
626,7.69,3.18,5.72,1.57,0
627,7.78,2.77,6.2,2.13,0
628,6.6,3.18,5.16,1.96,0
629,4.42,3.69,1.57,0.23,0
630,5.19,3.63,1.61,0.33,0
631,5.15,2.93,1.57,0.06,0
632,4.74,3.32,1.57,0.5,0
633,5.2,3.15,1.46,0.22,0
634,5.01,3.62,1.45,0.31,0
635,5.28,3.6,1.74,0.28,0
636,5.6,2.94,1.77,0.31,0
637,5.63,3.17,1.26,0.27,0
638,6.2,2.72,4.94,1.38,0
639,5.96,3.18,4.53,1.4,0
640,5.64,2.41,4.87,0.99,0
641,6.0,2.73,4.53,1.36,0
642,6.69,2.77,5.06,1.6,0
643,6.18,2.28,4.09,1.37,0
644,6.25,2.78,4.27,1.1,0
645,6.65,3.28,4.94,1.14,0
646,5.81,3.21,4.12,1.27,0
647,5.12,3.3,4.3,1.28,0
648,6.63,2.43,6.3,2.12,0
649,6.8,2.7,5.76,2.25,0
650,6.6,3.22,5.25,1.9,0
651,5.76,2.6,5.87,2.15,0
652,6.49,3.11,5.48,1.71,0
653,5.97,2.85,4.89,2.14,0
654,6.94,3.0,6.31,2.42,0
655,6.58,3.01,6.32,2.27,0
656,5.05,2.97,1.47,0.31,0
657,4.23,3.37,1.44,0.12,0
658,5.27,3.46,1.27,0.23,0
659,4.45,3.19,1.35,0.2,0
660,4.91,3.84,1.35,0.18,0
661,5.23,2.51,1.49,0.23,0
662,5.46,3.41,1.47,0.09,0
663,4.91,4.08,1.52,0.38,0
664,4.63,3.32,1.69,0.12,0
665,4.97,3.92,1.45,0.13,0
666,4.83,3.57,1.34,0.2,0
667,6.57,3.29,4.44,1.26,0
668,6.04,2.72,4.87,1.39,0
669,5.71,2.54,4.08,1.2,0
670,6.28,2.49,4.85,1.66,0
671,5.6,2.45,3.6,1.61,0
672,7.2,2.94,3.96,1.25,0
673,6.06,2.42,4.47,1.39,0
674,6.13,3.12,4.16,1.33,0
675,4.94,3.14,5.91,2.04,0
676,6.1,3.07,6.07,2.08,0
677,5.98,3.24,5.2,2.31,0
678,6.63,3.18,5.07,1.82,0
679,7.11,2.81,5.82,1.85,0
680,6.62,2.86,5.0,1.64,0
681,6.21,2.85,5.77,2.08,0
682,4.92,2.93,5.34,1.9,0
683,6.82,3.05,5.1,1.83,0
684,7.18,3.06,6.06,2.17,0
685,6.54,2.67,5.66,1.76,0
686,7.72,2.63,5.03,1.76,0
687,4.9,3.25,1.39,0.08,0
688,4.91,2.59,1.65,0.09,0
689,5.19,3.72,1.47,0.19,0
690,4.95,3.54,1.25,0.25,0
691,5.25,3.41,1.45,0.46,0
692,4.89,2.78,1.62,0.19,0
693,4.9,3.22,1.36,0.22,0
694,5.1,4.26,1.4,0.12,0
695,4.99,3.37,1.28,0.32,0
696,5.1,3.4,1.78,-0.05,0
